Geography,statefips,countyfips,year,Older (65 plus)
"Adams County, IN",18,1,2019,5681
"Allen County, IN",18,3,2019,56584
"Bartholomew County, IN",18,5,2019,13851
"Benton County, IN",18,7,2019,1571
"Blackford County, IN",18,9,2019,2574
"Boone County, IN",18,11,2019,9342
"Brown County, IN",18,13,2019,3833
"Carroll County, IN",18,15,2019,4060
"Cass County, IN",18,17,2019,6889
"Clark County, IN",18,19,2019,19117
"Clay County, IN",18,21,2019,4779
"Clinton County, IN",18,23,2019,5440
"Crawford County, IN",18,25,2019,2124
"Daviess County, IN",18,27,2019,5147
"Dearborn County, IN",18,29,2019,9064
"Decatur County, IN",18,31,2019,4629
"DeKalb County, IN",18,33,2019,7200
"Delaware County, IN",18,35,2019,19927
"Dubois County, IN",18,37,2019,7634
"Elkhart County, IN",18,39,2019,31210
"Fayette County, IN",18,41,2019,4740
"Floyd County, IN",18,43,2019,12927
"Fountain County, IN",18,45,2019,3318
"Franklin County, IN",18,47,2019,4318
"Fulton County, IN",18,49,2019,3976
"Gibson County, IN",18,51,2019,5981
"Grant County, IN",18,53,2019,12783
"Greene County, IN",18,55,2019,6332
"Hamilton County, IN",18,57,2019,43311
"Hancock County, IN",18,59,2019,12875
"Harrison County, IN",18,61,2019,7336
"Hendricks County, IN",18,63,2019,24197
"Henry County, IN",18,65,2019,9264
"Howard County, IN",18,67,2019,16415
"Huntington County, IN",18,69,2019,6394
"Jackson County, IN",18,71,2019,7364
"Jasper County, IN",18,73,2019,6083
"Jay County, IN",18,75,2019,3775
"Jefferson County, IN",18,77,2019,5930
"Jennings County, IN",18,79,2019,4675
"Johnson County, IN",18,81,2019,23480
"Knox County, IN",18,83,2019,6736
"Kosciusko County, IN",18,85,2019,13721
"LaGrange County, IN",18,87,2019,5489
"Lake County, IN",18,89,2019,82195
"LaPorte County, IN",18,91,2019,20303
"Lawrence County, IN",18,93,2019,9342
"Madison County, IN",18,95,2019,24197
"Marion County, IN",18,97,2019,124220
"Marshall County, IN",18,99,2019,8455
"Martin County, IN",18,101,2019,2114
"Miami County, IN",18,103,2019,6399
"Monroe County, IN",18,105,2019,20114
"Montgomery County, IN",18,107,2019,7020
"Morgan County, IN",18,109,2019,12201
"Newton County, IN",18,111,2019,2818
"Noble County, IN",18,113,2019,7885
"Ohio County, IN",18,115,2019,1317
"Orange County, IN",18,117,2019,3890
"Owen County, IN",18,119,2019,4145
"Parke County, IN",18,121,2019,3380
"Perry County, IN",18,123,2019,3638
"Pike County, IN",18,125,2019,2541
"Porter County, IN",18,127,2019,28752
"Posey County, IN",18,129,2019,5003
"Pulaski County, IN",18,131,2019,2481
"Putnam County, IN",18,133,2019,6411
"Randolph County, IN",18,135,2019,5134
"Ripley County, IN",18,137,2019,5185
"Rush County, IN",18,139,2019,3108
"St. Joseph County, IN",18,141,2019,43960
"Scott County, IN",18,143,2019,4074
"Shelby County, IN",18,145,2019,7829
"Spencer County, IN",18,147,2019,4052
"Starke County, IN",18,149,2019,4373
"Steuben County, IN",18,151,2019,7254
"Sullivan County, IN",18,153,2019,3820
"Switzerland County, IN",18,155,2019,1870
"Tippecanoe County, IN",18,157,2019,23280
"Tipton County, IN",18,159,2019,3239
"Union County, IN",18,161,2019,1390
"Vanderburgh County, IN",18,163,2019,31490
"Vermillion County, IN",18,165,2019,3148
"Vigo County, IN",18,167,2019,17876
"Wabash County, IN",18,169,2019,6587
"Warren County, IN",18,171,2019,1701
"Warrick County, IN",18,173,2019,11273
"Washington County, IN",18,175,2019,4861
"Wayne County, IN",18,177,2019,12874
"Wells County, IN",18,179,2019,5270
"White County, IN",18,181,2019,4900
"Whitley County, IN",18,183,2019,6298
